Week,Platform,Posts Planned,Posts Published,Impressions,Likes,Comments,Shares/Saves,Followers Start,Followers End,Followers Change,Top Post,Notes
Dec 1-7 2025,LI Personal,5,0,0,0,0,0,0,0,0,,Week 1 - Build presence
Dec 1-7 2025,LI Company,2,0,0,0,0,0,0,0,0,,Week 1 - Build presence
Dec 1-7 2025,Instagram,5,0,0,0,0,0,0,0,0,,Week 1 - Build presence
Dec 8-14 2025,LI Personal,5,0,0,0,0,0,0,0,0,,Workshop announcement week (Dec 14)
Dec 8-14 2025,LI Company,3,0,0,0,0,0,0,0,0,,Workshop announcement week (Dec 14)
Dec 8-14 2025,Instagram,5,0,0,0,0,0,0,0,0,,Workshop announcement week (Dec 14)
Dec 15-21 2025,LI Personal,5,0,0,0,0,0,0,0,0,,Push registrations
Dec 15-21 2025,LI Company,3,0,0,0,0,0,0,0,0,,Push registrations
Dec 15-21 2025,Instagram,5,0,0,0,0,0,0,0,0,,Push registrations
Dec 22-28 2025,LI Personal,4,0,0,0,0,0,0,0,0,,Holiday week - lighter
Dec 22-28 2025,LI Company,2,0,0,0,0,0,0,0,0,,Holiday week - lighter
Dec 22-28 2025,Instagram,3,0,0,0,0,0,0,0,0,,Holiday week - lighter
Dec 29 - Jan 4,LI Personal,5,0,0,0,0,0,0,0,0,,New Year + final push
Dec 29 - Jan 4,LI Company,3,0,0,0,0,0,0,0,0,,New Year + final push
Dec 29 - Jan 4,Instagram,4,0,0,0,0,0,0,0,0,,New Year + final push
Jan 5-11 2026,LI Personal,5,0,0,0,0,0,0,0,0,,WORKSHOP WEEK!
Jan 5-11 2026,LI Company,4,0,0,0,0,0,0,0,0,,WORKSHOP WEEK!
Jan 5-11 2026,Instagram,5,0,0,0,0,0,0,0,0,,WORKSHOP WEEK!
